country,type,weekday,year,month,day,date,localtime,date-localtime,timeofday,ISO8601Time
usa,Atmospheric,Monday,1945,7,16,7/16/1945,4:29:21,7/16/1945 4:29:21,Night,1945-07-16
usa,Atmospheric,Sunday,1945,8,5,8/5/1945,16:16:02,8/5/1945 16:16:02,Afternoon,1945-08-05
usa,Atmospheric,Thursday,1945,8,9,8/9/1945,18:58:00,8/9/1945 18:58:00,Evening,1945-08-09
usa,Atmospheric,Sunday,1946,6,30,6/30/1946,13:01:00,6/30/1946 13:01:00,Afternoon,1946-06-30
usa,Underwater,Wednesday,1946,7,24,7/24/1946,13:35:00,7/24/1946 13:35:00,Afternoon,1946-07-24
usa,Atmospheric,Wednesday,1948,4,14,4/14/1948,11:16:59,4/14/1948 11:16:59,Morning,1948-04-14
usa,Atmospheric,Friday,1948,4,30,4/30/1948,11:08:59,4/30/1948 11:08:59,Morning,1948-04-30
usa,Atmospheric,Friday,1948,5,14,5/14/1948,11:04:00,5/14/1948 11:04:00,Morning,1948-05-14
ussr,Atmospheric,Monday,1949,8,29,8/29/1949,3:00:00,8/29/1949 3:00:00,Night,1949-08-29
ussr,Atmospheric,Wednesday,1950,11,30,11/30/1950,3:00:00,11/30/1950 3:00:00,Night,1950-11-30
usa,Atmospheric,Saturday,1951,1,27,1/27/1951,5:44:51,1/27/1951 5:44:51,Night,1951-01-27
usa,Atmospheric,Sunday,1951,1,28,1/28/1951,5:52:05,1/28/1951 5:52:05,Night,1951-01-28
usa,Atmospheric,Thursday,1951,2,1,2/1/1951,5:46:40,2/1/1951 5:46:40,Night,1951-02-01
usa,Atmospheric,Friday,1951,2,2,2/2/1951,5:48:48,2/2/1951 5:48:48,Night,1951-02-02
usa,Atmospheric,Tuesday,1951,2,6,2/6/1951,5:46:55,2/6/1951 5:46:55,Night,1951-02-06
usa,Atmospheric,Saturday,1951,4,7,4/7/1951,9:33:58,4/7/1951 9:33:58,Morning,1951-04-07
usa,Atmospheric,Friday,1951,4,20,4/20/1951,9:27:00,4/20/1951 9:27:00,Morning,1951-04-20
