country,type,weekday,year,month,day,localtime,timeofday
prc,Atmospheric,Friday,1964,10,16,15:00:00,Afternoon
prc,Atmospheric,Friday,1965,5,14,10:00:00,Morning
prc,Atmospheric,Monday,1966,5,9,16:00:00,Afternoon
prc,Atmospheric,Thursday,1966,10,27,9:10:00,Morning
prc,Atmospheric,Wednesday,1966,12,28,12:00:00,Afternoon
prc,Atmospheric,Saturday,1967,6,17,8:19:08,Morning
prc,Atmospheric,Sunday,1967,12,24,12:00:00,Afternoon
prc,Atmospheric,Friday,1968,12,27,15:30:00,Afternoon
prc,Underground,Monday,1969,9,22,0:14:59,Night
prc,Atmospheric,Monday,1969,9,29,16:40:12,Afternoon
prc,Atmospheric,Wednesday,1970,10,14,15:29:57,Afternoon
prc,Atmospheric,Thursday,1971,11,18,14:00:00,Afternoon
prc,Atmospheric,Friday,1972,1,7,15:00:00,Afternoon
prc,Atmospheric,Saturday,1972,3,18,14:00:00,Afternoon
prc,Atmospheric,Wednesday,1973,6,27,11:59:46,Morning
prc,Atmospheric,Monday,1974,6,17,13:59:53,Afternoon
prc,Underground,Monday,1975,10,27,8:59:58,Morning
prc,Atmospheric,Friday,1976,1,23,14:00:00,Afternoon
prc,Atmospheric,Sunday,1976,9,26,14:00:00,Afternoon
prc,Underground,Sunday,1976,10,17,12:59:59,Afternoon
prc,Atmospheric,Wednesday,1976,11,17,14:00:13,Afternoon
prc,Atmospheric,Saturday,1977,9,17,15:00:00,Afternoon
prc,Atmospheric,Wednesday,1978,3,15,13:00:00,Afternoon
prc,Underground,Saturday,1978,10,14,8:59:58,Morning
prc,Atmospheric,Thursday,1978,12,14,8:00:00,Morning
prc,Underground,Friday,1979,2,2,8:00:00,Morning
prc,Underground,Thursday,1979,9,13,8:00:00,Morning
prc,Atmospheric,Thursday,1980,10,16,12:30:30,Afternoon
prc,Underground,Tuesday,1982,10,5,8:00:00,Morning
prc,Underground,Wednesday,1983,5,4,12:59:58,Afternoon
prc,Underground,Thursday,1983,10,6,17:59:58,Afternoon
prc,Underground,Wednesday,1984,10,3,13:59:58,Afternoon
prc,Underground,Wednesday,1984,12,19,13:59:58,Afternoon
prc,Underground,Friday,1987,6,5,13:59:58,Afternoon
prc,Underground,Thursday,1988,9,29,14:59:58,Afternoon
prc,Underground,Saturday,1990,5,26,16:59:58,Afternoon
prc,Underground,Thursday,1990,8,16,13:59:58,Afternoon
prc,Underground,Thursday,1992,5,21,12:59:57,Afternoon
prc,Underground,Friday,1992,9,25,15:59:58,Afternoon
prc,Underground,Monday,1992,11,2,8:00:00,Morning
prc,Underground,Tuesday,1993,10,5,9:59:57,Morning
prc,Underground,Friday,1994,6,10,14:25:58,Afternoon
prc,Underground,Friday,1994,10,7,11:25:58,Morning
prc,Underground,Monday,1995,5,15,12:05:58,Afternoon
prc,Underground,Thursday,1995,8,17,8:59:58,Morning
prc,Underground,Saturday,1996,6,8,10:55:58,Morning
prc,Underground,Saturday,1996,6,8,10:55:58,Morning
prc,Underground,Monday,1996,7,29,9:48:58,Morning
