country,type,weekday,year,month,day,localtime,timeofday
fr,Atmospheric,Saturday,1960,2,13,8:04:00,Morning
fr,Atmospheric,Friday,1960,4,1,7:17:00,Morning
fr,Atmospheric,Tuesday,1960,12,27,8:30:00,Morning
fr,Atmospheric,Tuesday,1961,4,25,7:00:00,Morning
fr,Underground,Tuesday,1961,11,7,12:30:00,Afternoon
fr,Underground,Tuesday,1962,5,1,11:00:00,Morning
fr,Underground,Monday,1963,3,18,11:02:00,Morning
fr,Underground,Saturday,1963,3,30,10:59:00,Morning
fr,Underground,Sunday,1963,10,20,14:00:00,Afternoon
fr,Underground,Friday,1964,2,14,12:00:00,Afternoon
fr,Underground,Monday,1964,6,15,14:40:00,Afternoon
fr,Underground,Saturday,1964,11,28,11:30:00,Morning
fr,Underground,Saturday,1965,2,27,12:30:00,Afternoon
fr,Underground,Sunday,1965,5,30,12:00:00,Afternoon
fr,Underground,Friday,1965,10,1,11:00:00,Morning
fr,Underground,Wednesday,1965,12,1,11:30:00,Morning
fr,Underground,Wednesday,1966,2,16,12:00:00,Afternoon
fr,Atmospheric,Saturday,1966,7,2,16:34:00,Afternoon
fr,Atmospheric,Tuesday,1966,7,19,16:05:00,Afternoon
fr,Atmospheric,Thursday,1966,7,21,13:00:00,Afternoon
fr,Atmospheric,Sunday,1966,9,11,18:30:00,Evening
fr,Atmospheric,Saturday,1966,9,24,18:00:00,Evening
fr,Atmospheric,Tuesday,1966,10,4,22:00:00,Evening
fr,Atmospheric,Monday,1967,6,5,20:00:00,Evening
fr,Atmospheric,Tuesday,1967,6,27,19:30:00,Evening
fr,Atmospheric,Sunday,1967,7,2,18:30:00,Evening
fr,Atmospheric,Sunday,1968,7,7,23:00:00,Evening
fr,Atmospheric,Monday,1968,7,15,20:00:00,Evening
fr,Atmospheric,Saturday,1968,8,3,22:00:00,Evening
fr,Atmospheric,Saturday,1968,8,24,19:30:01,Evening
fr,Atmospheric,Sunday,1968,9,8,20:00:01,Evening
fr,Atmospheric,Friday,1970,5,15,19:00:00,Evening
fr,Atmospheric,Friday,1970,5,22,19:30:00,Evening
fr,Atmospheric,Saturday,1970,5,30,19:00:00,Evening
fr,Atmospheric,Wednesday,1970,6,24,19:30:00,Evening
fr,Atmospheric,Friday,1970,7,3,19:30:00,Evening
fr,Atmospheric,Monday,1970,7,27,20:00:00,Evening
fr,Atmospheric,Sunday,1970,8,2,20:00:00,Evening
fr,Atmospheric,Thursday,1970,8,6,20:00:00,Evening
fr,Atmospheric,Saturday,1971,6,5,20:15:00,Evening
fr,Atmospheric,Saturday,1971,6,12,20:14:57,Evening
fr,Atmospheric,Sunday,1971,7,4,22:30:00,Evening
fr,Atmospheric,Sunday,1971,8,8,19:30:00,Evening
fr,Atmospheric,Saturday,1971,8,14,20:00:01,Evening
fr,Atmospheric,Sunday,1972,6,25,20:00:00,Evening
fr,Atmospheric,Friday,1972,6,30,19:30:00,Evening
fr,Atmospheric,Thursday,1972,7,27,19:40:00,Evening
fr,Atmospheric,Monday,1972,7,31,23:30:00,Evening
fr,Atmospheric,Saturday,1973,7,21,19:00:00,Evening
fr,Atmospheric,Saturday,1973,7,28,0:06:00,Night
fr,Atmospheric,Saturday,1973,8,18,19:15:00,Evening
fr,Atmospheric,Friday,1973,8,24,19:00:00,Evening
fr,Atmospheric,Tuesday,1973,8,28,19:30:00,Evening
fr,Atmospheric,Thursday,1973,9,13,16:42:00,Afternoon
fr,Atmospheric,Sunday,1974,6,16,18:30:00,Evening
fr,Atmospheric,Monday,1974,7,1,18:30:00,Evening
fr,Atmospheric,Sunday,1974,7,7,0:15:00,Night
fr,Atmospheric,Wednesday,1974,7,17,18:00:00,Evening
fr,Atmospheric,Thursday,1974,7,25,18:30:00,Evening
fr,Atmospheric,Sunday,1974,7,28,18:30:00,Evening
fr,Atmospheric,Wednesday,1974,8,14,1:30:00,Night
fr,Atmospheric,Saturday,1974,8,24,0:45:00,Night
fr,Atmospheric,Saturday,1974,9,14,0:30:00,Night
fr,Underground,Thursday,1975,6,5,19:15:00,Evening
fr,Underground,Wednesday,1975,11,26,1:48:00,Night
fr,Underground,Saturday,1976,4,3,19:07:00,Evening
fr,Underground,Sunday,1976,7,11,2:30:01,Night
fr,Underground,Thursday,1976,7,22,21:00:00,Evening
fr,Underground,Saturday,1976,10,30,23:59:59,Evening
fr,Underground,Sunday,1976,12,5,0:00:00,Night
fr,Underground,Saturday,1977,2,19,0:30:00,Night
fr,Underground,Saturday,1977,3,19,0:01:00,Night
fr,Underground,Saturday,1977,4,2,0:30:00,Night
fr,Underground,Tuesday,1977,6,28,20:15:00,Evening
fr,Underground,Wednesday,1977,7,6,0:59:59,Night
fr,Underground,Tuesday,1977,7,12,1:00:00,Night
fr,Underground,Saturday,1977,11,12,2:30:00,Night
fr,Underground,Thursday,1977,11,24,18:00:00,Evening
fr,Underground,Saturday,1977,12,17,23:00:00,Evening
fr,Underground,Monday,1978,2,27,0:00:00,Night
fr,Underground,Wednesday,1978,3,22,18:30:01,Evening
fr,Underground,Saturday,1978,3,25,18:30:00,Evening
fr,Underground,Saturday,1978,7,1,19:00:00,Evening
fr,Underground,Wednesday,1978,7,19,20:00:00,Evening
fr,Underground,Wednesday,1978,7,26,1:00:00,Night
fr,Underground,Thursday,1978,11,2,19:00:00,Evening
fr,Underground,Tuesday,1978,11,14,19:00:00,Evening
fr,Underground,Thursday,1978,11,30,18:31:58,Evening
fr,Underground,Sunday,1978,12,17,19:04:00,Evening
fr,Underground,Tuesday,1978,12,19,17:57:02,Afternoon
fr,Underground,Thursday,1979,3,1,18:24:00,Evening
fr,Underground,Friday,1979,3,9,17:37:00,Afternoon
fr,Underground,Saturday,1979,3,24,17:28:00,Afternoon
fr,Underground,Wednesday,1979,4,4,20:07:01,Evening
fr,Underground,Monday,1979,6,18,1:27:01,Night
fr,Underground,Friday,1979,6,29,20:56:00,Evening
fr,Underground,Wednesday,1979,7,25,19:57:00,Evening
fr,Underground,Saturday,1979,7,28,21:56:00,Evening
fr,Underground,Monday,1979,11,19,18:53:00,Evening
fr,Underground,Thursday,1979,11,22,20:14:13,Evening
fr,Underground,Saturday,1980,2,23,19:03:00,Evening
fr,Underground,Monday,1980,3,3,18:56:00,Evening
fr,Underground,Sunday,1980,3,23,20:36:58,Evening
fr,Underground,Tuesday,1980,4,1,20:31:00,Evening
fr,Underground,Friday,1980,4,4,19:33:00,Evening
fr,Underground,Monday,1980,6,16,20:26:59,Evening
fr,Underground,Saturday,1980,6,21,19:01:00,Evening
fr,Underground,Sunday,1980,7,6,19:27:01,Evening
fr,Underground,Wednesday,1980,7,9,20:03:00,Evening
fr,Underground,Saturday,1980,7,19,1:46:59,Night
fr,Underground,Tuesday,1980,11,25,18:53:00,Evening
fr,Underground,Wednesday,1980,12,3,18:32:58,Evening
fr,Underground,Friday,1981,2,27,0:28:00,Night
fr,Underground,Friday,1981,3,6,18:27:00,Evening
fr,Underground,Saturday,1981,3,28,18:23:01,Evening
fr,Underground,Friday,1981,4,10,19:57:01,Evening
fr,Underground,Wednesday,1981,7,8,0:23:00,Night
fr,Underground,Saturday,1981,7,11,19:17:00,Evening
fr,Underground,Saturday,1981,7,18,19:43:00,Evening
fr,Underground,Monday,1981,8,3,20:32:59,Evening
fr,Underground,Friday,1981,11,6,18:03:00,Evening
fr,Underground,Wednesday,1981,11,11,18:07:00,Evening
fr,Underground,Saturday,1981,12,5,17:58:01,Afternoon
fr,Underground,Tuesday,1981,12,8,17:47:00,Afternoon
fr,Underground,Saturday,1982,2,20,18:33:00,Evening
fr,Underground,Wednesday,1982,2,24,19:15:00,Evening
fr,Underground,Saturday,1982,3,20,18:03:00,Evening
fr,Underground,Tuesday,1982,3,23,18:07:00,Evening
fr,Underground,Wednesday,1982,3,31,18:30:00,Evening
fr,Underground,Sunday,1982,6,27,19:00:00,Evening
fr,Underground,Thursday,1982,7,1,19:02:00,Evening
fr,Underground,Wednesday,1982,7,21,19:13:00,Evening
fr,Underground,Sunday,1982,7,25,20:02:00,Evening
fr,Underground,Saturday,1982,11,27,18:02:00,Evening
fr,Underground,Tuesday,1983,4,19,20:53:00,Evening
fr,Underground,Monday,1983,4,25,19:32:59,Evening
fr,Underground,Wednesday,1983,5,25,19:31:00,Evening
fr,Underground,Saturday,1983,6,18,19:31:00,Evening
fr,Underground,Tuesday,1983,6,28,19:46:00,Evening
fr,Underground,Wednesday,1983,7,20,22:30:00,Evening
fr,Underground,Thursday,1983,8,4,19:14:00,Evening
fr,Underground,Saturday,1983,12,3,17:58:00,Afternoon
fr,Underground,Wednesday,1983,12,7,18:28:00,Evening
fr,Underground,Tuesday,1984,5,8,19:26:00,Evening
fr,Underground,Saturday,1984,5,12,19:31:00,Evening
fr,Underground,Tuesday,1984,6,12,19:16:00,Evening
fr,Underground,Saturday,1984,6,16,19:44:00,Evening
fr,Underground,Saturday,1984,10,27,18:16:00,Evening
fr,Underground,Friday,1984,11,2,21:45:00,Evening
fr,Underground,Saturday,1984,12,1,17:51:00,Afternoon
fr,Underground,Thursday,1984,12,6,18:29:00,Evening
fr,Underground,Tuesday,1985,4,30,19:29:01,Evening
fr,Underground,Wednesday,1985,5,8,22:28:00,Evening
fr,Underground,Monday,1985,6,3,19:30:01,Evening
fr,Underground,Friday,1985,6,7,19:40:00,Evening
fr,Underground,Thursday,1985,10,24,18:50:00,Evening
fr,Underground,Saturday,1985,10,26,17:35:00,Afternoon
fr,Underground,Sunday,1985,11,24,17:01:01,Afternoon
fr,Underground,Tuesday,1985,11,26,18:42:00,Evening
fr,Underground,Saturday,1986,4,26,19:02:01,Evening
fr,Underground,Tuesday,1986,5,6,18:58:00,Evening
fr,Underground,Tuesday,1986,5,27,19:15:00,Evening
fr,Underground,Friday,1986,5,30,19:25:00,Evening
fr,Underground,Monday,1986,11,10,17:58:00,Afternoon
fr,Underground,Wednesday,1986,11,12,18:02:00,Evening
fr,Underground,Saturday,1986,12,6,18:10:00,Evening
fr,Underground,Wednesday,1986,12,10,18:15:00,Evening
fr,Underground,Tuesday,1987,5,5,18:58:01,Evening
fr,Underground,Wednesday,1987,5,20,19:05:00,Evening
fr,Underground,Saturday,1987,6,6,20:00:01,Evening
fr,Underground,Sunday,1987,6,21,19:55:00,Evening
fr,Underground,Friday,1987,10,23,17:50:00,Afternoon
fr,Underground,Thursday,1987,11,5,18:30:00,Evening
fr,Underground,Thursday,1987,11,19,17:31:00,Afternoon
fr,Underground,Sunday,1987,11,29,18:59:00,Evening
fr,Underground,Wednesday,1988,5,11,19:00:00,Evening
fr,Underground,Wednesday,1988,5,25,19:01:00,Evening
fr,Underground,Thursday,1988,6,16,19:15:00,Evening
fr,Underground,Thursday,1988,6,23,19:31:00,Evening
