country,type,weekday,year,month,day,localtime,timeofday
uk,Atmospheric,Friday,1952,10,3,0:59:24,Night
uk,Atmospheric,Wednesday,1953,10,14,21:30,Evening
uk,Atmospheric,Monday,1953,10,26,21:30,Evening
uk,Atmospheric,Wednesday,1956,5,16,3:50,Night
uk,Atmospheric,Tuesday,1956,6,19,2:14,Night
uk,Atmospheric,Thursday,1956,9,27,7:30,Morning
uk,Atmospheric,Thursday,1956,10,4,7:00,Morning
uk,Atmospheric,Thursday,1956,10,11,5:57,Night
uk,Atmospheric,Monday,1956,10,22,14:35,Afternoon
uk,Atmospheric,Wednesday,1957,5,15,19:37,Evening
uk,Atmospheric,Friday,1957,5,31,19:41,Evening
uk,Atmospheric,Wednesday,1957,6,19,19:40,Evening
uk,Atmospheric,Saturday,1957,9,14,5:05,Night
uk,Atmospheric,Wednesday,1957,9,25,0:30,Night
uk,Atmospheric,Wednesday,1957,10,9,6:45,Morning
uk,Atmospheric,Friday,1957,11,8,17:47,Afternoon
uk,Atmospheric,Monday,1958,4,28,19:05,Evening
uk,Atmospheric,Friday,1958,8,22,18:00,Evening
uk,Atmospheric,Tuesday,1958,9,2,17:24,Afternoon
uk,Atmospheric,Thursday,1958,9,11,17:49,Afternoon
uk,Atmospheric,Tuesday,1958,9,23,18:00,Evening
uk,Underground,Thursday,1962,3,1,19:10:00,Evening
uk,Underground,Friday,1962,12,7,19:00:00,Evening
uk,Underground,Friday,1964,7,17,17:18:30,Afternoon
uk,Underground,Friday,1964,9,25,17:02:00,Afternoon
uk,Underground,Friday,1965,9,10,17:12:00,Afternoon
uk,Underground,Thursday,1974,5,23,13:38:30,Afternoon
uk,Underground,Thursday,1976,8,26,14:30:00,Afternoon
uk,Underground,Tuesday,1978,4,11,15:30:00,Afternoon
uk,Underground,Saturday,1978,11,18,19:00:00,Evening
uk,Underground,Wednesday,1979,8,29,15:08:00,Afternoon
uk,Underground,Saturday,1980,4,26,17:00:00,Afternoon
uk,Underground,Friday,1980,10,24,19:15:00,Evening
uk,Underground,Wednesday,1980,12,17,15:10:00,Afternoon
uk,Underground,Thursday,1981,11,12,15:00:00,Afternoon
uk,Underground,Sunday,1982,4,25,18:05:00,Evening
uk,Underground,Friday,1983,4,22,13:53:00,Afternoon
uk,Underground,Tuesday,1984,5,1,19:05:00,Evening
uk,Underground,Sunday,1984,12,9,19:40:00,Evening
uk,Underground,Thursday,1985,12,5,15:00:00,Afternoon
uk,Underground,Wednesday,1986,6,25,20:27:45,Evening
uk,Underground,Thursday,1987,7,16,19:00:00,Evening
uk,Underground,Friday,1989,12,8,15:00:00,Afternoon
uk,Underground,Wednesday,1990,11,14,19:17:00,Evening
uk,Underground,Tuesday,1991,11,26,18:35:00,Evening
