country,type,weekday,year,month,day,localtime,timeofday
usa,Atmospheric,Monday,1945,7,16,4:29:21,Night
usa,Atmospheric,Sunday,1945,8,5,16:16:02,Afternoon
usa,Atmospheric,Thursday,1945,8,9,18:58:00,Evening
usa,Atmospheric,Sunday,1946,6,30,13:01:00,Afternoon
usa,Underwater,Wednesday,1946,7,24,13:35:00,Afternoon
usa,Atmospheric,Wednesday,1948,4,14,11:16:59,Morning
usa,Atmospheric,Friday,1948,4,30,11:08:59,Morning
usa,Atmospheric,Friday,1948,5,14,11:04:00,Morning
usa,Atmospheric,Saturday,1951,1,27,5:44:51,Night
usa,Atmospheric,Sunday,1951,1,28,5:52:05,Night
usa,Atmospheric,Thursday,1951,2,1,5:46:40,Night
usa,Atmospheric,Friday,1951,2,2,5:48:48,Night
usa,Atmospheric,Tuesday,1951,2,6,5:46:55,Night
usa,Atmospheric,Saturday,1951,4,7,9:33:58,Morning
usa,Atmospheric,Friday,1951,4,20,9:27:00,Morning
usa,Atmospheric,Tuesday,1951,5,8,13:30:01,Afternoon
usa,Atmospheric,Thursday,1951,5,24,10:16:59,Morning
usa,Atmospheric,Monday,1951,10,22,6:00:00,Morning
usa,Atmospheric,Sunday,1951,10,28,7:20:09,Morning
usa,Atmospheric,Tuesday,1951,10,30,7:00:30,Morning
usa,Atmospheric,Thursday,1951,11,1,7:30:02,Morning
usa,Atmospheric,Monday,1951,11,5,8:29:58,Morning
usa,Atmospheric,Monday,1951,11,19,9:00:00,Morning
usa,Crater,Thursday,1951,11,29,12:00:00,Afternoon
usa,Atmospheric,Tuesday,1952,4,1,9:00:08,Morning
usa,Atmospheric,Tuesday,1952,4,15,9:29:57,Morning
usa,Atmospheric,Tuesday,1952,4,22,9:30:10,Morning
usa,Atmospheric,Thursday,1952,5,1,9:29:59,Morning
usa,Atmospheric,Wednesday,1952,5,7,5:14:59,Night
usa,Atmospheric,Sunday,1952,5,25,5:00:00,Night
usa,Atmospheric,Sunday,1952,6,1,4:55:00,Night
usa,Atmospheric,Thursday,1952,6,5,4:55:00,Night
usa,Atmospheric,Friday,1952,10,31,11:14:59,Morning
usa,Atmospheric,Saturday,1952,11,15,15:30:00,Afternoon
usa,Atmospheric,Tuesday,1953,3,17,5:20:00,Night
usa,Atmospheric,Tuesday,1953,3,24,5:10:00,Night
usa,Atmospheric,Tuesday,1953,3,31,5:00:00,Night
usa,Atmospheric,Monday,1953,4,6,7:29:38,Morning
usa,Atmospheric,Saturday,1953,4,11,4:45:00,Night
usa,Atmospheric,Saturday,1953,4,18,4:35:00,Night
usa,Atmospheric,Saturday,1953,4,25,4:30:00,Night
usa,Atmospheric,Friday,1953,5,8,8:29:55,Morning
usa,Atmospheric,Tuesday,1953,5,19,5:05:00,Night
usa,Atmospheric,Monday,1953,5,25,8:30:00,Morning
usa,Atmospheric,Thursday,1953,6,4,4:14:57,Night
usa,Atmospheric,Sunday,1954,2,28,10:45:00,Morning
usa,Atmospheric,Friday,1954,3,26,10:30:00,Morning
usa,Atmospheric,Tuesday,1954,4,6,10:20:00,Morning
usa,Atmospheric,Sunday,1954,4,25,11:10:01,Morning
usa,Atmospheric,Tuesday,1954,5,4,11:10:00,Morning
usa,Atmospheric,Thursday,1954,5,13,11:20:00,Morning
usa,Atmospheric,Friday,1955,2,18,11:59:59,Morning
usa,Atmospheric,Tuesday,1955,2,22,5:45:00,Night
usa,Atmospheric,Tuesday,1955,3,1,5:30:00,Night
usa,Atmospheric,Monday,1955,3,7,5:20:00,Night
usa,Atmospheric,Saturday,1955,3,12,5:20:00,Night
usa,Atmospheric,Tuesday,1955,3,22,5:05:00,Night
usa,Crater,Wednesday,1955,3,23,12:30:00,Afternoon
usa,Atmospheric,Tuesday,1955,3,29,4:55:00,Night
usa,Atmospheric,Tuesday,1955,3,29,9:59:55,Morning
usa,Atmospheric,Wednesday,1955,4,6,10:00:04,Morning
usa,Atmospheric,Saturday,1955,4,9,4:30:00,Night
usa,Atmospheric,Friday,1955,4,15,11:15:00,Morning
usa,Atmospheric,Thursday,1955,5,5,5:10:00,Night
usa,Underwater,Saturday,1955,5,14,13:00:00,Afternoon
usa,Atmospheric,Sunday,1955,5,15,5:00:00,Night
usa,Atmospheric,Tuesday,1955,11,1,14:10:00,Afternoon
usa,Atmospheric,Thursday,1955,11,3,13:15:00,Afternoon
usa,Atmospheric,Saturday,1955,11,5,11:55:00,Morning
usa,Atmospheric,Wednesday,1956,1,18,13:30:00,Afternoon
usa,Atmospheric,Friday,1956,5,4,11:25:30,Morning
usa,Atmospheric,Sunday,1956,5,20,10:50:39,Morning
usa,Atmospheric,Sunday,1956,5,27,10:56:00,Morning
usa,Atmospheric,Sunday,1956,5,27,12:56:00,Afternoon
usa,Atmospheric,Wednesday,1956,5,30,11:15:29,Morning
usa,Atmospheric,Wednesday,1956,6,6,17:55:30,Afternoon
usa,Atmospheric,Monday,1956,6,11,11:26:00,Morning
usa,Atmospheric,Monday,1956,6,11,11:26:00,Morning
usa,Atmospheric,Wednesday,1956,6,13,16:26:00,Afternoon
usa,Atmospheric,Saturday,1956,6,16,18:13:53,Evening
usa,Atmospheric,Thursday,1956,6,21,14:26:00,Afternoon
usa,Atmospheric,Monday,1956,6,25,11:06:00,Morning
usa,Atmospheric,Monday,1956,7,2,11:06:00,Morning
usa,Atmospheric,Sunday,1956,7,8,11:06:00,Morning
usa,Atmospheric,Tuesday,1956,7,10,10:56:00,Morning
usa,Atmospheric,Friday,1956,7,20,10:46:00,Morning
usa,Atmospheric,Saturday,1956,7,21,11:16:00,Morning
usa,Atmospheric,Wednesday,1957,4,24,6:27:00,Morning
usa,Atmospheric,Tuesday,1957,5,28,4:55:00,Night
usa,Atmospheric,Sunday,1957,6,2,4:55:00,Night
