date,closing-amount
7/16/1945,14.94
7/17/1945,14.61
7/18/1945,14.56
7/19/1945,14.66
7/20/1945,14.66
7/23/1945,14.51
7/24/1945,14.54
7/25/1945,14.68
7/26/1945,14.38
7/27/1945,14.45
7/30/1945,14.6
7/31/1945,14.66
8/1/1945,14.68
8/2/1945,14.62
8/3/1945,14.68
8/6/1945,14.72
8/7/1945,14.52
8/8/1945,14.55
8/9/1945,14.79
8/10/1945,14.78
8/13/1945,14.61
8/14/1945,14.7
8/17/1945,14.62
8/20/1945,14.4
8/21/1945,14.46
8/22/1945,14.56
8/23/1945,14.85
8/24/1945,15.05
8/27/1945,15.27
8/28/1945,15.32
8/29/1945,15.3
8/30/1945,15.35
8/31/1945,15.51
9/4/1945,15.51
9/5/1945,15.53
9/6/1945,15.74
9/7/1945,15.73
9/8/1945,15.76
9/10/1945,15.78
9/11/1945,15.88
9/12/1945,15.95
9/13/1945,15.95
9/14/1945,15.86
9/15/1945,15.56
9/17/1945,15.51
9/18/1945,15.82
9/19/1945,15.97
9/20/1945,16.03
9/21/1945,15.95
9/22/1945,15.92
9/24/1945,15.91
9/25/1945,15.93
9/26/1945,15.92
9/27/1945,15.86
9/28/1945,16.05
9/29/1945,16.16
10/1/1945,16.33
10/2/1945,16.33
10/3/1945,16.3
10/4/1945,16.3
10/5/1945,16.38
10/6/1945,16.46
10/8/1945,16.5
10/9/1945,16.54
10/10/1945,16.6
10/11/1945,16.58
10/15/1945,16.59
10/16/1945,16.59
10/17/1945,16.66
10/18/1945,16.72
10/19/1945,16.59
10/20/1945,16.65
10/22/1945,16.71
10/23/1945,16.58
10/24/1945,16.33
10/25/1945,16.41
10/26/1945,16.49
10/29/1945,16.3
10/30/1945,16.38
10/31/1945,16.65
11/1/1945,16.87
11/2/1945,16.86
11/3/1945,16.85
11/5/1945,16.94
11/7/1945,17.14
11/8/1945,17.08
11/9/1945,17.1
11/10/1945,17.1
11/13/1945,17.04
11/14/1945,16.95
11/15/1945,17.08
11/16/1945,17
11/17/1945,17.21
11/19/1945,17.19
11/20/1945,17.27
