country,date,type,shot,yield,iodine131-released
usa,7/16/1945,Atmospheric,Trinity,21,3087
usa,8/5/1945,Atmospheric,Little Boy,15,2205
usa,8/9/1945,Atmospheric,Fat Man,21,3087
usa,6/30/1946,Atmospheric,Able,21,3087
usa,7/24/1946,Underwater,Baker,21,0
usa,4/14/1948,Atmospheric,X-ray,37,5439
usa,4/30/1948,Atmospheric,Yoke,49,7203
usa,5/14/1948,Atmospheric,Zebra,18,2646
usa,1/27/1951,Atmospheric,Able,1,140
usa,1/28/1951,Atmospheric,Baker,8,1300
usa,2/1/1951,Atmospheric,Easy,1,100
usa,2/2/1951,Atmospheric,Baker-2,8,1300
usa,2/6/1951,Atmospheric,Fox,22,3200
usa,4/7/1951,Atmospheric,Dog,81,11907
usa,4/20/1951,Atmospheric,Easy,47,6909
usa,5/8/1951,Atmospheric,George,225,33075
usa,5/24/1951,Atmospheric,Item,46,6689
usa,10/22/1951,Atmospheric,Able,0,7
usa,10/28/1951,Atmospheric,Baker,4,600
usa,10/30/1951,Atmospheric,Charlie,14,2000
usa,11/1/1951,Atmospheric,Dog,21,3100
usa,11/5/1951,Atmospheric,Easy,31,4500
usa,11/19/1951,Atmospheric,Sugar,1,170
usa,11/29/1951,Crater,Uncle,1,170
usa,4/1/1952,Atmospheric,Able,1,140
usa,4/15/1952,Atmospheric,Baker,1,140
usa,4/22/1952,Atmospheric,Charlie,31,4600
usa,5/1/1952,Atmospheric,Dog,19,2900
usa,5/7/1952,Atmospheric,Easy,12,1800
usa,5/25/1952,Atmospheric,Fox,11,1600
usa,6/1/1952,Atmospheric,George,15,2200
usa,6/5/1952,Atmospheric,How,14,2100
usa,10/31/1952,Atmospheric,Mike,10400,1528800
usa,11/15/1952,Atmospheric,King,500,73500
usa,3/17/1953,Atmospheric,Annie,16,2400
usa,3/24/1953,Atmospheric,Nancy,24,3600
usa,3/31/1953,Atmospheric,Ruth,0,28
usa,4/6/1953,Atmospheric,Dixie,11,1700
usa,4/11/1953,Atmospheric,Ray,0,28
usa,4/18/1953,Atmospheric,Badger,23,3600
usa,4/25/1953,Atmospheric,Simon,43,6800
usa,5/8/1953,Atmospheric,Encore,27,3900
usa,5/19/1953,Atmospheric,Harry,32,4600
usa,5/25/1953,Atmospheric,Grable,15,2100
usa,6/4/1953,Atmospheric,Climax,61,8600
